LA Name,Centre Type,School Name,Address Line1,Address Line2,Address Line3,Post Code,Unique Property Reference Number (UPRN)
North Lanarkshire,Local Authority,Banton Primary School,Lammerknowes Road,Banton,KILSYTH,G65 0QT,118030338
North Lanarkshire,Local Authority,Chapelgreen Primary School,Mill Road,Queenzieburn,KILSYTH,G65 9EF,118037428
North Lanarkshire,Local Authority,Kilsyth Primary School,Shuttle Street,Kilsyth,,G65 0BL,118012738
North Lanarkshire,Local Authority,Balmalloch Primary School,Kingsway,Balmalloch,KILSYTH,G65 9UJ,118014048
North Lanarkshire,Local Authority,Kilsyth Academy,Balmalloch,Kilsyth,GLASGOW,G65 9NF,118013090
North Lanarkshire,Local Authority,St Patrick's Primary School (Kilsyth),Backbrae Street,Kilsyth,,G65 0NA,118012731
North Lanarkshire,Local Authority,St Maurice's High School,Westfield,Cumbernauld,,G68 9AG,118019853
North Lanarkshire,Local Authority,Whitelees Primary School,Whitelees Road,Cumbernauld,,G67 3NJ,118040638
North Lanarkshire,Local Authority,Ravenswood Primary School,Tiree Road,Cumbernauld,,G67 1NR,118025307
North Lanarkshire,Local Authority,Baird Memorial Primary School,6 Avonhead Road,Condorrat,CUMBERNAULD,G67 4RA,118023150
North Lanarkshire,Local Authority,Westfield Primary School,Westfield Drive,Westfield,CUMBERNAULD,G68 9HJ,118015509
North Lanarkshire,Local Authority,Eastfield Primary School,23 Cairntoul Court,Cumbernauld,,G68 9JR,118021010
Grant Aided,Grant Aided,Craighalbert-Scottish Centre for Children with Motor Impairments,Craighalbert Centre,1 Craighalbert Way,CUMBERNAULD,G68 0LS,118023831
Glasgow City,Local Authority,Camstradden Primary School,10 Bankglen Road,,GLASGOW,G15 7LG,906700408096
Glasgow City,Local Authority,Oakwood Primary School,22 Drumlanrig Avenue,,GLASGOW,G34 0JD,906700426679
Glasgow City,Local Authority,Riverside Primary School,635 Govan Road,,GLASGOW,G51 2AQ,906700431915
Glasgow City,Local Authority,Hospital Education Service,RHSC,1345 Govan Road,GLASGOW,G3 8SJ,906700032819
Glasgow City,Local Authority,Alexandra Parade Primary School,136 Armadale Street,,GLASGOW,G31 2TL,906700134270
Glasgow City,Local Authority,Anderston Primary School,3 Port Street,,GLASGOW,G3 8HY,906700081806
Glasgow City,Local Authority,Annette Street Primary School,27 Annette Street,,GLASGOW,G42 8YB,906700367770
Glasgow City,Local Authority,Balornock Primary School,422 Broomfield Road,,GLASGOW,G21 3UT,906700142890
Glasgow City,Local Authority,Bankhead Primary School,66 Caldwell Avenue,Knightswood,GLASGOW,G13 3AS,906700019377
Glasgow City,Local Authority,Barmulloch Primary School,305 Forge Street,,GLASGOW,G21 2AH,906700173011
Glasgow City,Local Authority,Battlefield Primary School,44 Carmichael Place,,GLASGOW,G42 9SY,906700383213
Glasgow City,Local Authority,Blackfriars Primary School,310 Cumberland Street,,GLASGOW,G5 0SS,906700259582
Glasgow City,Local Authority,Blairdardie Primary School,50 Kearn Avenue,,GLASGOW,G15 6HL,906700516150
Glasgow City,Local Authority,Broomhill Primary School,57 Edgehill Road,,GLASGOW,G11 7HZ,906700052377
Glasgow City,Local Authority,Cadder Primary School,60 Herma Street,,GLASGOW,G23 5AR,906700058937
Glasgow City,Local Authority,Cardonald Primary School,1 Angus Oval,,GLASGOW,G52 3HD,906700127355
Glasgow City,Local Authority,Pirie Park Primary School,337 Langlands Road,,GLASGOW,G51 4AW,906700430898
Glasgow City,Local Authority,Carntyne Primary School,38-62 Liberton Street,,GLASGOW,G33 2HF,906700541392
Glasgow City,Local Authority,Ashpark Primary School,75 Kyleakin Road,,GLASGOW,G46 8DQ,906700429981
Glasgow City,Local Authority,Castleton Primary School,70 Dougrie Road,Castlemilk,GLASGOW,G45 9NW,906700269954
Glasgow City,Local Authority,Chirnsyde Primary School,288 Ashgill Road,Milton,GLASGOW,G22 7SB,906700007336
Glasgow City,Local Authority,Corpus Christi Primary School,179 Pikeman Road,,GLASGOW,G13 3BH,906700093024
Glasgow City,Local Authority,Avenue End Primary School,290 Mossvale Road,,GLASGOW,G33 5NY,906700420193
Glasgow City,Local Authority,Craigton Primary School & Nursery Class,9 Morven Street,,GLASGOW,G52 1AL,906700193092
Glasgow City,Local Authority,Croftfoot Primary School,114 Crofthill Road,,GLASGOW,G44 5QQ,906700248047
Glasgow City,Local Authority,Cuthbertson Primary School and Nursery Class,35 Cuthbertson Street,,GLASGOW,G42 7RJ,906700248862
Glasgow City,Local Authority,Dalmarnock Primary School,111 Baltic Street,,GLASGOW,G40 3BA,906700419636
Glasgow City,Local Authority,Antonine Primary School,4 Abbotshall Avenue,,GLASGOW,G15 8PR,906700419828
Glasgow City,Local Authority,Dunard Primary School & Nursery Class,65 Dunard Street,,GLASGOW,G20 6RL,906700036058
Glasgow City,Local Authority,Eastbank Primary School,80 Gartocher Road,,GLASGOW,G32 0HA,906700332422
Glasgow City,Local Authority,Elmvale Primary School & Nursery Class,712 Hawthorn Street,,GLASGOW,G22 6ED,906700166966
Glasgow City,Local Authority,Garnetbank Primary School,231 Renfrew Street,,GLASGOW,G3 6TX,906700089657
Glasgow City,Local Authority,Golfhill Primary School,280 Onslow Drive,,GLASGOW,G31 2QF,906700513704
Glasgow City,Local Authority,Gowanbank Primary School,Gowanbank Campus,1 Craigbank Drive,GLASGOW,G53 6RA,906700504648
Glasgow City,Local Authority,Haghill Park Primary School & Nursery Class,415 Cumbernauld Road,Dennistoun,GLASGOW,G31 3LS,906700399940
Glasgow City,Local Authority,Hillhead Primary School,110 Otago Street,,GLASGOW,G12 8NS,906700436631
Glasgow City,Local Authority,Hillington Primary School,227 Hartlaw Crescent,,GLASGOW,G52 2JL,906700172536
Glasgow City,Local Authority,Holy Cross Primary School,316 Calder Street,,GLASGOW,G42 7NH,906700256427
Glasgow City,Local Authority,Cleeves Primary School,271 Househillmuir Road,,GLASGOW,G53 6NL,906700430496
Glasgow City,Local Authority,Hyndland Primary School,44 Fortrose Street,,GLASGOW,G11 5LP,906700361407
Glasgow City,Local Authority,Ibrox Primary School & Nursery Class,46 Hinshelwood Drive,,GLASGOW,G51 2XP,906700171108
Glasgow City,Local Authority,Kelvindale Primary School,11 Dorchester Place,,GLASGOW,G12 0BP,906700028652
Glasgow City,Local Authority,King's Park Primary School,44 Kingsbridge Drive,,GLASGOW,G44 4JS,906700285731
Glasgow City,Local Authority,Knightswood Primary School,36 Knightscliffe Avenue,,GLASGOW,G13 2TE,906700388532
Glasgow City,Local Authority,Wallacewell Primary School,305 Standburn Road,,GLASGOW,G21 3RH,906700419516
Glasgow City,Local Authority,Langside Primary School,233 Tantallon Road,,GLASGOW,G41 3JW,906700309572
Glasgow City,Local Authority,Lorne Street Primary School,28 Lorne Street,,GLASGOW,G51 1DP,906700179455
Glasgow City,Local Authority,Our Lady of Lourdes Primary School & Nursery Class,150 Berryknowes Road,,GLASGOW,G52 2DE,906700398040
Glasgow City,Local Authority,Crookston Castle Primary School,Glenside Avenue,,GLASGOW,G53 5SD,906700420393
Glasgow City,Local Authority,Merrylee Primary School,50 Friarton Road,,GLASGOW,G43 2PR,906700430718
Glasgow City,Local Authority,Cranhill Primary School,17 Skerryvore Road,,GLASGOW,G33 3LT,906700431172
Glasgow City,Local Authority,Miltonbank Primary School,11 Skerray Street,,GLASGOW,G22 7PT,906700102845
Glasgow City,Local Authority,Mosspark Primary School & Nursery Class,20 Mosspark Square,Mosspark,GLASGOW,G52 1LZ,906700300210
Glasgow City,Local Authority,Mount Florida Primary School & Nursery Class,1127 Cathcart Road,,GLASGOW,G42 9HF,906700253806
Glasgow City,Local Authority,Notre Dame Primary School,30 Havelock Street,,GLASGOW,G11 5JE,906700058853
Glasgow City,Local Authority,Oakgrove Primary School,20 St Peter's Street,,GLASGOW,G4 9PW,906700102198
Glasgow City,Local Authority,Our Lady Of The Annunciation Primary School,80 Friarton Road,,GLASGOW,G43 2PR,906700272653
Glasgow City,Local Authority,Our Lady Of The Rosary Primary School & Nursery Class,50 Tarfside Gardens,,GLASGOW,G52 3AA,906700305352
Glasgow City,Local Authority,Pollokshields Primary School,241 Albert Drive,,GLASGOW,G41 2NA,906700349099
Glasgow City,Local Authority,Quarry Brae Primary School and Nursery Class,61 Crail Street,Parkhead,GLASGOW,G31 5AL,906700430219
Glasgow City,Local Authority,Royston Primary School,102 Royston Road,,GLASGOW,G21 2NU,906700206651
Glasgow City,Local Authority,Sacred Heart Primary School,31 Reid Street,Bridgeton,GLASGOW,G40 4AR,906700214390
Glasgow City,Local Authority,St Albert's Primary School,36 Maxwell Drive,,GLASGOW,G41 5DU,906700190750
Glasgow City,Local Authority,Aultmore Park Primary School,48 Newhills Road,,GLASGOW,G33 4HH,906700429720
Glasgow City,Local Authority,St Monica's (Milton) Primary School,200 Liddesdale Road,,GLASGOW,G22 7QX,906700429867
Glasgow City,Local Authority,St Anne's Primary School,35 David Street,,GLASGOW,G40 2UN,906700159165
Glasgow City,Local Authority,St Constantine's Primary School & Nursery Class,45 Drumoyne Road,,GLASGOW,G51 4AX,906700428547
Glasgow City,Local Authority,St Bartholomew's Primary School,30 Castlemilk Drive,,GLASGOW,G45 9TR,906700418660
Glasgow City,Local Authority,St Benedict's Primary School,62 Lochend Road,,GLASGOW,G34 0LT,906700399942
Glasgow City,Local Authority,St Bernard's Primary School,14 Dove Street,,GLASGOW,G53 6BP,906700428541
Glasgow City,Local Authority,St Brendan's Primary School,Clyde Campus,200 Hawick Street,GLASGOW,G13 4HG,906700533504
Glasgow City,Local Authority,St Bride's Primary School,83 Craigie Street,,GLASGOW,G42 8NB,906700249144
Glasgow City,Local Authority,St Brigid's Primary School,4 Glenmore Avenue,,GLASGOW,G42 0EH,906700277666
Glasgow City,Local Authority,St Catherine's Primary School,274 Rye Road,,GLASGOW,G21 3JR,906700213662
Glasgow City,Local Authority,St Charles' Primary School,13 Kelvinside Gardens,,GLASGOW,G20 6BG,906700060227
Glasgow City,Local Authority,St Conval's Primary School,140 Shawhill Road,,GLASGOW,G43 1SY,906700290442
Glasgow City,Local Authority,St Cuthbert's Primary School,Benview Campus,100 Bilsland Drive,GLASGOW,G20 9NY,906700502388
Glasgow City,Local Authority,St Denis' Primary School,129 Roslea Drive,,GLASGOW,G31 2RZ,906700209333
Glasgow City,Local Authority,John Paul II Primary School,29 Dunagoil Road,,GLASGOW,G45 9UR,906700431500
Glasgow City,Local Authority,St Fillan's Primary School & Nursery Class,20 Crompton Avenue,,GLASGOW,G44 5AF,906700249255
Glasgow City,Local Authority,St Francis' Primary School & Nursery Class,430 Old Rutherglen Road,,GLASGOW,G5 0PA,906700300594
Glasgow City,Local Authority,St George's Primary School,101 Muirdykes Road,,GLASGOW,G52 2QJ,906700197388
Glasgow City,Local Authority,St Joseph's Primary School,39 Raglan Street,,GLASGOW,G4 9QX,906700081699
Glasgow City,Local Authority,Our Lady of Peace Primary School,343 Hallhill Road,,GLASGOW,G33 4RY,906700425644
Glasgow City,Local Authority,St Marnock's Primary School,Langton Crescent,,GLASGOW,G53 5LW,906700280776
Glasgow City,Local Authority,St Martha's Primary School,85 Menzies Road,,GLASGOW,G21 3NG,906700194659
Glasgow City,Local Authority,St Mary's Primary School,2 Kilmun Street,,GLASGOW,G20 0EL,906700074066
Glasgow City,Local Authority,St Michael's Primary School,865 Springfield Road,,GLASGOW,G31 4HZ,906700216576
Glasgow City,Local Authority,St Mirin's Primary School,260 Carmunnock Road,,GLASGOW,G44 5AP,906700260767
Glasgow City,Local Authority,St Maria Goretti Primary School,67 Skerryvore Road,,GLASGOW,G33 3LT,906700406374
Glasgow City,Local Authority,St Monica's Primary School,30 Kempsthorn Road,,GLASGOW,G53 5SR,10091882040
Glasgow City,Local Authority,St Mungo's Primary School & Nursery Class,45 Parson Street,,GLASGOW,G4 0PX,906700087577
Glasgow City,Local Authority,St Ninian's Primary School,2150 Great Western Road,,GLASGOW,G13 2AB,906700055911
Glasgow City,Local Authority,St Patrick's Primary School,10 Perth Street,,GLASGOW,G3 8UQ,906700091102
Glasgow City,Local Authority,St Paul's (Shettleston) Primary School & Nursery Class,85 Anwoth Street,,GLASGOW,G32 7RR,906700124522
Glasgow City,Local Authority,St Paul's (Whiteinch) Primary School,17 Primrose Street,,GLASGOW,G14 0TF,906700085167
Glasgow City,Local Authority,St Philomena's Primary School,35 Robroyston Road,,GLASGOW,G33 1EA,906700348464
Glasgow City,Local Authority,St Roch's Primary School,267 Royston Road,,GLASGOW,G21 2BS,906700209241
Glasgow City,Local Authority,St Rose Of Lima Primary School,295 Mossvale Road,,GLASGOW,G33 5QS,906700418276
Glasgow City,Local Authority,St Saviour's Primary School,635 Govan Road,,GLASGOW,G51 2AQ,906700431916
Glasgow City,Local Authority,St Clare's Primary School,15 Kilcloy Avenue,,GLASGOW,G15 8RP,906700399944
Glasgow City,Local Authority,St Martin's Primary School,22 Pinkston Drive,,GLASGOW,G21 1NL,906700530381
Glasgow City,Local Authority,St Teresa's Primary School,65 Stonyhurst Street,,GLASGOW,G22 5AX,906700400609
Glasgow City,Local Authority,St Thomas' Primary School,8 Smithycroft Road,,GLASGOW,G33 2QJ,906700105553
Glasgow City,Local Authority,St Timothy's Primary School & Nursery Class,41 Inveresk Street,,GLASGOW,G32 6SL,906700230045
Glasgow City,Local Authority,St Vincent's Primary School,40 Crebar Street,,GLASGOW,G46 8EQ,906700247983
Glasgow City,Local Authority,Sandwood Primary School,120 Sandwood Road,,GLASGOW,G52 2QY,906700214650
Glasgow City,Local Authority,Saracen Primary School,65 Stonyhurst Street,,GLASGOW,G22 5AX,906700430721
Glasgow City,Local Authority,Scotstoun Primary School,21 Duncan Avenue,,GLASGOW,G14 9HN,906700036951
Glasgow City,Local Authority,Shawlands Primary School,1284 Pollokshaws Road,,GLASGOW,G41 3QP,906700292386
Glasgow City,Local Authority,Sunnyside Primary School,1 Powrie Street,,GLASGOW,G33 5LA,906700208245
Glasgow City,Local Authority,Thorntree Primary School,55 Cobinshaw Street,Greenfield,GLASGOW,G32 6XL,906700144253
Glasgow City,Local Authority,Thornwood Primary School & Nursery Class,11 Thornwood Avenue,,GLASGOW,G11 7QZ,906700112227
Glasgow City,Local Authority,Toryglen Primary School,6 Drumreoch Place,,GLASGOW,G42 0ER,906700262193
Glasgow City,Local Authority,Wellshot Primary School,285 Wellshot Road,,GLASGOW,G32 7QD,906700223576
Glasgow City,Local Authority,Whiteinch Primary School,56 Medwyn Street,,GLASGOW,G14 9RP,906700080778
Glasgow City,Local Authority,Miller Primary School,20 Ardencraig Road,,GLASGOW,G45 9US,906700422379
Glasgow City,Local Authority,Springburn Academy,151 Edgefauld Road,,GLASGOW,G21 4JL,906700381034
Glasgow City,Local Authority,All Saints Secondary School,299 Ryehill Road,,GLASGOW,G21 3EN,906700375787
Glasgow City,Local Authority,Bellahouston Academy,30 Gower Terrace,,GLASGOW,G41 5QE,906700170021
Glasgow City,Local Authority,St Paul's High School,36 Damshot Road,,GLASGOW,G53 5HW,906700256689
Glasgow City,Local Authority,Cleveden Secondary School,42 Cleveden Road,,GLASGOW,G12 0JW,906700024396
Glasgow City,Local Authority,Glasgow Gaelic School,147 Berkeley Street,,GLASGOW,G3 7HP,906700012289
Glasgow City,Local Authority,Eastbank Academy,26 Academy Street,,GLASGOW,G32 9AA,906700127899
Glasgow City,Local Authority,Govan High School,12 Ardnish Street,,GLASGOW,G51 4NB,906700182881
Glasgow City,Local Authority,Castlemilk High School,223 Castlemilk Drive,,GLASGOW,G45 9JY,906700251940
Glasgow City,Local Authority,Hillhead High School,22-44 Oakfield Avenue,,GLASGOW,G12 8LJ,906700084225
Glasgow City,Local Authority,Hillpark Secondary School,36 Cairngorm Road,,GLASGOW,G43 2XA,906700246950
Glasgow City,Local Authority,Holyrood Secondary School,100 Dixon Road,,GLASGOW,G42 8AU,906700257438
Glasgow City,Local Authority,Hyndland Secondary School,74 Lauderdale Gardens,,GLASGOW,G12 9RQ,906700079634
Glasgow City,Local Authority,King's Park Secondary School,14 Fetlar Drive,Simshill,GLASGOW,G44 5BL,906700264786
Glasgow City,Local Authority,Knightswood Secondary School,60 Knightswood Road,,GLASGOW,G13 2XD,906700072470
Glasgow City,Local Authority,Lochend Community High School,20 Cairnbrook Road,,GLASGOW,G34 0NZ,906700381036
Glasgow City,Local Authority,Lourdes Secondary School,47 Kirriemuir Avenue,,GLASGOW,G52 3DF,906700288263
Glasgow City,Local Authority,Notre Dame High School,160 Observatory Road,,GLASGOW,G12 9LN,906700081544
Glasgow City,Local Authority,Rosshall Academy,131 Crookston Road,,GLASGOW,G52 3PD,906700381702
Glasgow City,Local Authority,Shawlands Academy,31 Moss-side Road,,GLASGOW,G41 3TR,906700275763
Glasgow City,Local Authority,Smithycroft Secondary School,282 Smithycroft Road,,GLASGOW,G33 2QU,906700107335
Glasgow City,Local Authority,St Andrew's Secondary School,47 Torphin Crescent,,GLASGOW,G32 6QE,906700226691
Glasgow City,Local Authority,St Margaret Mary's Secondary School,9 Birgidale Road,,GLASGOW,G45 9NJ,906700384302
Glasgow City,Local Authority,St Mungo's Academy,235 Crownpoint Road,,GLASGOW,G40 2RA,906700358482
Glasgow City,Local Authority,St Roch's Secondary School,25 Rhymer Street,,GLASGOW,G21 2NF,906700219718
Glasgow City,Local Authority,St Thomas Aquinas Secondary School,112 Mitre Road,,GLASGOW,G14 9PP,906700381032
Glasgow City,Local Authority,Whitehill Secondary School,280 Onslow Drive,Dennistoun,GLASGOW,G31 2QF,906700201073
Glasgow City,Local Authority,Drummore Primary School,129 Drummore Road,,GLASGOW,G15 7NH,906700038412
Glasgow City,Local Authority,Eastmuir Primary School,211 Hallhill Road,,GLASGOW,G33 4QL,906700175193
Glasgow City,Local Authority,Hollybrook Academy,135 Hollybrook Street,,GOVANHILL,G42 7HU,906700261998
Glasgow City,Local Authority,Howford Primary School,Gowanbank Campus,1 Craigbank Drive,GLASGOW,G53 6RA,906700504648
Glasgow City,Local Authority,Kelbourne Park Primary School,109 Hotspur Street,,GLASGOW,G20 8LH,906700057341
Glasgow City,Local Authority,Hazelwood School,50 Dumbreck Court,,GLASGOW,G41 5DQ,906700421450
Glasgow City,Local Authority,Parkhill Secondary School,375 Cumbernauld Road,,GLASGOW,G31 3LP,906700036471
Glasgow City,Local Authority,Kirkriggs Primary School,500 Croftfoot Road,,GLASGOW,G45 0NJ,906700254034
Glasgow City,Local Authority,Cardinal Winning Secondary School,30 Fullarton Avenue,Glasgow,,G32 8NJ,906700401788
Glasgow City,Local Authority,St Oswald's Secondary School,9 Brigidale Road,,GLASGOW,G45 9NJ,906700384302
Glasgow City,Local Authority,Hampden Primary School,18 Logan Gardens,,GLASGOW,G5 0LJ,906700291390
Glasgow City,Local Authority,Linburn Academy,77 Linburn Road,,GLASGOW,G52 4EX,906700179290
Glasgow City,Local Authority,Newhills Secondary School,42 Newhills Road,,GLASGOW,G33 4HJ,906700202665
Glasgow City,Local Authority,Glendale Primary School,120 McCulloch Street,,GLASGOW,G41 1NX,906700185567
Glasgow City,Local Authority,Sandaig Primary School,31 Burnmouth Road,,GLASGOW,G33 4SA,906700365135
Glasgow City,Local Authority,Darnley Primary School,169 Glen Moriston Road,,GLASGOW,G53 7HT,906700264116
Glasgow City,Local Authority,St Blane's Primary School,23 Arrochar Drive,,GLASGOW,G23 5QB,906700004577
Glasgow City,Local Authority,Parkview Primary School,19 Rothes Drive,Summerston,GLASGOW,G23 5PZ,906700098292
Glasgow City,Local Authority,Langlands Primary School,Glenside Avenue,,GLASGOW,G53 5SD,906700431176
Glasgow City,Local Authority,Tinto Primary School,61 Netherauldhouse Road,,GLASGOW,G43 2XG,906700332145
Glasgow City,Local Authority,Abercorn Secondary School,195 Garscube Road,,GLASGOW,G4 9QH,906700048474
Glasgow City,Local Authority,St Angela's Primary School & Nursery Class,227 Glen Moriston Road,,GLASGOW,G53 7HT,906700264118
Glasgow City,Local Authority,Langfaulds Primary School,56 Ledmore Drive,,GLASGOW,G15 7AQ,906700071774
Glasgow City,Local Authority,St Francis Of Assisi Primary School,Crown Street,,GLASGOW,G69 7XB,906700116447
Glasgow City,Local Authority,Middlefield School,80 Ardnahoe Avenue,,GLASGOW,G42 0DL,906700233482
East Renfrewshire,Local Authority,Calderwood Lodge P School,Waterfoot Road,Newton Mearns,GLASGOW,G77 5GP,131047968
Glasgow City,Local Authority,Caledonia Primary School,10 Calderwood Drive,,GLASGOW,G69 7DX,906700111288
Glasgow City,Local Authority,St Bridget's Primary School & Nursery Class,Camp Road,,GLASGOW,G69 6DF,906700364042
Glasgow City,Local Authority,Carmunnock Primary School,158 Waterside Road,Carmunnock,GLASGOW,G76 9AJ,906700369925
Glasgow City,Local Authority,Carmyle Primary School & Nursery Class,Hillcrest Road,,GLASGOW,G32 8AG,906700131337
Glasgow City,Local Authority,St Joachim's Primary School,131A Montrose Avenue,,GLASGOW,G32 8BZ,906700132924
South Lanarkshire,Local Authority,James Aiton Primary School,Morriston Street,,CAMBUSLANG,G72 7HZ,484175428
South Lanarkshire,Local Authority,Cairns Primary School,Ivybank Avenue,Cambuslang,,G72 8SQ,484165004
South Lanarkshire,Local Authority,St Bride's Primary School (Cambuslang),Johnson Drive,,CAMBUSLANG,G72 8JR,484176159
South Lanarkshire,Local Authority,West Coats Primary School,Brownside Road,,CAMBUSLANG,G72 8NH,484038081
South Lanarkshire,Local Authority,St Cadoc's Primary School,Ivybank Avenue,Halfway,CAMBUSLANG,G72 8SQ,484176216
Glasgow City,Local Authority,Garrowhill Primary School,25 Bakewell Road,Garrowhill,GLASGOW,G69 6RN,906700504312
South Lanarkshire,Local Authority,Hallside Primary School,Newton Station Road,Halfway,CAMBUSLANG,G72 7XN,484011326
Glasgow City,Local Authority,Mount Vernon Primary School,80 Criffel Road,,GLASGOW,G32 9JG,906700370528
South Lanarkshire,Local Authority,St Charles Primary School,Harvester Avenue,Newton,CAMBUSLANG,G72 7ZU,484163623
South Lanarkshire,Local Authority,Bankhead Primary School,Bankhead Road,,RUTHERGLEN,G73 2BQ,484177331
South Lanarkshire,Local Authority,Burgh Primary School,19 Victoria Street,Rutherglen,,G73 1DS,484161674
South Lanarkshire,Local Authority,Burnside Primary School,Glenlui Avenue,Burnside,RUTHERGLEN,G73 4JE,484130809
South Lanarkshire,Local Authority,Calderwood Primary School,Buchanan Drive,Rutherglen,,G73 3PQ,484156906
South Lanarkshire,Local Authority,Cathkin Primary School,Burnside Road,Rutherglen,,G73 4AA,484156904
South Lanarkshire,Local Authority,Loch Primary School,Lochaber Drive,Springhall,RUTHERGLEN,G73 5HX,484162268
South Lanarkshire,Local Authority,St Anthony's Primary School,Lochaber Drive,Rutherglen,,G73 5HX,484164574
South Lanarkshire,Local Authority,St Columbkille's Primary School,Clincarthill Road,Rutherglen,,G73 2LG,484154887
South Lanarkshire,Local Authority,St Mark's Primary School (Rutherglen),Kirkriggs Avenue,Blairbeth,RUTHERGLEN,G73 4LY,484175447
South Lanarkshire,Local Authority,Spittal Primary School,Lochlea Road,Spittal,RUTHERGLEN,G73 4QJ,484175163
Glasgow City,Local Authority,Swinton Primary School,2 Rhindmuir Road,,GLASGOW,G69 6AZ,906700340113
South Lanarkshire,Local Authority,Trinity High School,Glenside Drive,Rutherglen,,G73 3LW,484162029
Glasgow City,Local Authority,Bannerman High School,119 Glasgow Road,,GLASGOW,G69 7NS,906700136494
South Lanarkshire,Local Authority,Cathkin High School,Langlea Road,Cambuslang,,G72 8ES,484153519
South Lanarkshire,Local Authority,Stonelaw High School,140 Calderwood Road,Rutherglen,,G73 3BP,484139624
Glasgow City,Local Authority,John Paul Academy,2 Arrochar Street,,GLASGOW,G23 5LY,906700004459
Glasgow City,Local Authority,Broomlea Primary School,Keppoch Campus,65 Stonyhurst Street,GLASGOW,G22 5AX,906700430723
Glasgow City,Local Authority,Croftcroighn Primary School,290 Mossvale Road,,GLASGOW,G33 5NY,906700431169
Glasgow City,Local Authority,Caldercuilt Primary School,101 Invershiel Road,,GLASGOW,G23 5NR,906700064403
Glasgow City,Local Authority,Drumchapel High School,45 Cally Avenue,,GLASGOW,G15 7SQ,906700347618
Grant Aided,Grant Aided,Jordanhill School,45 Chamberlain Road,Jordanhill,GLASGOW,G13 1SP,906700351517
Grant Aided,Grant Aided,East Park School,1092 Maryhill Road,Glasgow,,G20 9TD,906700068653
North Lanarkshire,Local Authority,St Andrew's High School,9 Old Monkland Road,Coatbridge,,ML5 5EA,118169817
North Lanarkshire,Local Authority,All Saints Primary School,88 Bellsdyke Road,Cairnhill,AIRDRIE,ML6 9DW,118183657
North Lanarkshire,Local Authority,Chapelside Primary School,Chapel Street,Airdrie,,ML6 6LH,118142511
North Lanarkshire,Local Authority,Golfhill Primary School,Ballochney Street,Burnfoot,AIRDRIE,ML6 0LT,118134205
North Lanarkshire,Local Authority,Rochsolloch Primary School,88 Bellsdyke Road,Cairnhill,AIRDRIE,ML6 9DW,118183656
North Lanarkshire,Local Authority,St Andrew's Primary School (Airdrie),Laggan Road,Airdrie,,ML6 0LL,118134755
North Lanarkshire,Local Authority,St Dominic's Primary School,Petersburn Road,,AIRDRIE,ML6 8BX,118002569
North Lanarkshire,Local Authority,St Edward's Primary School,South Biggar Road,Airdrie,,ML6 9LZ,118004615
North Lanarkshire,Local Authority,St Serf's Primary School,Thrashbush Road,Airdrie,,ML6 6QU,118142401
North Lanarkshire,Local Authority,Tollbrae Primary School,South Biggar Road,Airdrie,,ML6 9LZ,118140436
North Lanarkshire,Local Authority,Victoria Primary School,79 Aitchison Street,Airdrie,,ML6 0DB,118133397
North Lanarkshire,Local Authority,Bargeddie Primary School,Langmuir Road,Bargeddie,GLASGOW,G69 7RS,118181183
North Lanarkshire,Local Authority,St Kevin's Primary School,Langmuir Road,Bargeddie,GLASGOW,G69 7RS,118098993
North Lanarkshire,Local Authority,Calderbank Primary School,Main Street,Calderbank,AIRDRIE,ML6 9SG,118001872
North Lanarkshire,Local Authority,Corpus Christi Primary School,Crowwood Crescent,Calderbank,AIRDRIE,ML6 9TA,118137562
North Lanarkshire,Local Authority,St Mary's Primary School (Caldercruix),Drumfin Avenue,Caldercruix,AIRDRIE,ML6 7QP,118181186
North Lanarkshire,Local Authority,Clarkston Primary School,12 Findhorn Place,Airdrie,,ML6 7HE,118177859
North Lanarkshire,Local Authority,Greenhill Primary School,Albert Street,Coatbridge,,ML5 3ET,118184851
North Lanarkshire,Local Authority,Kirkshaws Primary School,Old Monkland Road,Coatbridge,,ML5 5EJ,118109642
North Lanarkshire,Local Authority,Langloan Primary School,Bank Street,Coatbridge,,ML5 1EG,118111239
North Lanarkshire,Local Authority,Old Monkland Primary School,Sharp Avenue,Coatbridge,,ML5 5TJ,118103568
North Lanarkshire,Local Authority,St Augustine's Primary School,Henderson Street,Coatbridge,,ML5 1BL,118111817
North Lanarkshire,Local Authority,St Bartholomew's Primary School,Deveron Street,Townhead,COATBRIDGE,ML5 2JB,118106331
North Lanarkshire,Local Authority,St Bernard's Primary School,Berwick Place,Coatbridge,,ML5 4NQ,118119702
North Lanarkshire,Local Authority,St Monica's Primary School,Craigend Drive,Kirkwood,COATBRIDGE,ML5 5TJ,118195034
North Lanarkshire,Local Authority,St Patrick's Primary School (Coatbridge),Kildonan Street,Coatbridge,,ML5 3LG,118122745
North Lanarkshire,Local Authority,St Stephen's Primary School,Sikeside Street,Coatbridge,,ML5 4QH,118127026
North Lanarkshire,Local Authority,St Timothy's Primary School,11 Old Monkland Road,Coatbridge,,ML5 5EA,118109622
North Lanarkshire,Local Authority,Shawhead Primary School,Neidpath Avenue,Shawhead,COATBRIDGE,ML5 4NG,118119701
North Lanarkshire,Local Authority,Townhead Primary School,Dochart Drive,Coatbridge,,ML5 2PG,118106329
