LA Name,Centre Type,School Name,Address Line1,Address Line2,Address Line3,Post Code,Unique Property Reference Number (UPRN)
Moray,Local Authority,Pilmuir Primary School,Pilmuir Road,Forres,MORAY,IV36 1HD,133001092
Aberdeenshire,Local Authority,Aberchirder School,Smith Crescent,Aberchirder Huntly,ABERDEENSHIRE,AB54 7TW,151086442
Aberdeenshire,Local Authority,Banff Primary School,Academy Drive,Banff,ABERDEENSHIRE,AB45 1BL,151085122
Aberdeenshire,Local Authority,Bracoden School,Gamrie,Banff,BANFFSHIRE,AB45 3HA,151123463
Aberdeenshire,Local Authority,Fordyce School,School Road,Fordyce,BANFF,AB45 2SJ,151086436
Aberdeenshire,Local Authority,Macduff School,Berrymuir Road,Macduff,BANFFSHIRE,AB44 1PT,151086074
Aberdeenshire,Local Authority,Ordiquhill School,Cornhill,Banff,,AB45 2EX,151105516
Aberdeenshire,Local Authority,Portsoy School,Aird Street,Portsoy,BANFFSHIRE,AB45 2RB,151086445
Aberdeenshire,Local Authority,Whitehills School,Forbes Road,Whitehills,BANFFSHIRE,AB45 2LX,151087083
Aberdeenshire,Local Authority,Banff Academy,Bellevue Road,Banff,ABERDEENSHIRE,AB45 1BY,151085115
Aberdeenshire,Local Authority,Auchnagatt School,Auchnagatt,Ellon,ABERDEENSHIRE,AB41 8TF,151108377
Aberdeenshire,Local Authority,Auchterless School,Auchterless,Turriff,ABERDEENSHIRE,AB53 8BA,151106874
Aberdeenshire,Local Authority,Boddam School,13 Russell Street,Boddam Peterhead,ABERDEENSHIRE,AB42 3NG,151088060
